node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority,prev,next
ai 808361 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154037538348,0.0,0.0192725978017,0,0
ai 839502 stf,0,14,0.264150943396,0.0,0.0,2.4003218857e-10,0.639939064126,0.0,0,0
ai 844105 stf,0,6,0.11320754717,0.0,0.0,3.26888294211e-10,0.222268733504,0.0,0,0
ap 634 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936681,0.0,0.0,0,0
are 675958 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11310887354,0.0,0.055488183183,0,0
com 4 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268947,0.0,-1.6514217823600002e-18,0,0
ext 1155 stf,0,5,0.09433962264149999,0.0,0.0,2.2672300148400004e-10,0.0,0.0,0,0
ext 1178 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268544,0.0,-1.6514217823600002e-18,0,0
ext 1201 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268971,0.0,-1.6514217823600002e-18,0,0
hc 107780 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358053,0.0,0.0119477609586,0,0
hc 112643 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808762,0.0,0.0,0,0
hc 113037 stf,0,2,0.0377358490566,0.0,0.0,2.49925219409e-10,0.0,0.0,0,0
hc 115807 stf,0,10,0.18867924528299998,0.0,0.0,2.91776047767e-10,0.0,0.0,0,0
hc 218785 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936731,0.0,0.0,0,0
hc 257921 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808367,0.0,0.0,0,0
hc 83250 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936537,0.0,0.0,0,0
hc 84514 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808743,0.0,0.0,0,0
hc 84935 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936192,0.0,0.0,0,0
hc 86997 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.13749180821499998,0.0,0.0,0,0
hc 90162 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808517,0.0,0.0,0,0
hc 90312 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808238,0.0,0.0,0,0
hc 90654 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.13749180834799998,0.0,0.0,0,0
hc 92264 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.13749180834799998,0.0,0.0,0,0
hc 95840 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.13749180829399998,0.0,0.0,0,0
